Date,Time,Venue,Teams,Results,Outcome,Players,Goals,Assists,Yellow Cards,Red Cards
2015/01/20,14:15:00,Little Park,Eagles,1|3|4,Win,Joe Allen,0,1,0,0
,,,,,,David Hardy,2,0,1,0
,,,,,,Jude Murray,0,2,0,0
,,,,,,Isaac Hall,1,1,0,0
,,,,,,Nathan Knowles,1,0,0,1
,,,Sharks,2|0|2,Loss,Daniel Sturridge,1,0,1,0
,,,,,,Jake Price,0,0,1,1
,,,,,,Owen Goodwin,1,2,0,0
,,,,,,Dylan Gray,0,0,1,0
,,,,,,Zachary Noble,0,0,2,0
2015/01/24,16:00:00,Big Stadium,Kangaroos,1|1|2,Draw,Steven Gerrard,0,0,0,0
,,,,,,Gabrielle Gonzalez,1,0,1,0
,,,,,,Harrison Hancock,0,2,0,0
,,,,,,Reece Reeves,1,0,0,0
,,,,,,Edward Colier,0,0,0,1
,,,Eagles,0|2|2,Draw,Joe Allen,1,0,3,0
,,,,,,David Hardy,0,0,1,1
,,,,,,Ellis Nicholls,0,1,0,0
,,,,,,Corey Kirk,0,0,1,0
,,,,,,Isaac Hall,1,1,2,0
2015/03/14,16:00:00,Little Park,Sharks,2|0|2,Loss,Daniel Sturridge,1,0,1,0
,,,,,,Jake Price,1,0,0,0
,,,,,,Owen Goodwin,0,1,0,0
,,,,,,Dylan Gray,0,1,1,0
,,,,,,Henry Chadwick,0,0,0,1
,,,Eagles,1|2|3,Win,Joe Allen,1,1,0,0
,,,,,,David Hardy,0,0,1,0
,,,,,,Jude Murray,1,0,1,0
,,,,,,Corey Kirk,1,1,0,0
,,,,,,Spencer Duncan,0,0,0,1
2016/12/10,13:00:00,Little Park,Eagles,,,,,,,
,,,Kangaroos,,,,,,,
2017/05/05,12:00:00,Big Stadium,Sharks,,,,,,,
,,,Kangaroos,,,,,,,
